text,label
hơi đắt nhỉ .,1
"đẹp , sang_trọng , phục_vụ tốt .",1
"khá ok , giá cũng không rẻ lắm , nên đi buổi nào mát_mẻ nhiều mây ngồi gần bờ biển mới mát_mẻ đựơc .",1
nhân_viên thân_thiện nhiệt_tình không_gian ấm_cúng món lên khá nhanh .,1
"lên tận nơi order , đợi 15p xong bảo quên chưa nhập đơn , trải_nghiệm tuyệt_vời .",0
"mì phong_phú về chủng_loại nhân , khá ngon .",1
"ăn một món đợi món tiếp_theo quá lâu , mất hết khẩu_vị , đồ_ăn lên món không hợp_lý , ăn món chính mới lên món khai_vị .",0
"nhân_viên cực_kì tệ , hôm thì đem sai món , hôm thì phục_vụ khách đến sau , đi 10 lần bị hết 10 lần , tệ .",0
nhân_viên lừa_đảo tiền của khách số tiền lên đến gần 2 triệu ai cũng bị giống mình nên trình_báo công_an cho kẻ đó đi tù nhe .,0
"khá ổn , nhân_viên nhiệt_tình , có_điều lẩu dở quá .",1
"cách phục_vụ của nhân_viên tên hân rất là mất lịch_sự , người ta bỏ tiền ra mua chứ không phải đến nhà_hàng để xin ăn mà nói_chuyện không tôn_trọng người khác , thật là tồi_tệ .",0
"rất ngon , chỗ ngồi view cũng tạm được .",1
"trước ăn rất ngon giá ok nay ăn lại khá thất_vọng quá mắc , phần tôm kêu ra chỉ có 4 con_nhỏ , quán thì quá nhiều ruồi không bao_giờ trở_lại lần nữa .",0
"phở ngon , thịt và nước dùng đều chất_lượng , giá_cả phải_chăng .",1
quán này có ca_sĩ ăn nữa nha .,1
"chủ quán đánh khách đến ăn vì lí_do nhìn đểu , sau đó gọi điện xin_lỗi vì đánh nhầm người như một trò_đùa , free buffet đòn khi đến quán nha mọi người .",0
"kêu 4 món mang ra 2 món , tính tiền đủ 4 món , các bàn bên đều than như_thế , kêu tính tiền 4 lần phục_vụ lơ cho_qua , góp_ý thật lòng cho quán làm tốt hơn chứ nhân_viên tệ quá .",0
"đã ăn_ở đây nhiều lần , đồ_ăn ngon .",1
tốt nhất là tầm_thường .,0
"thức_ăn tốt , nhân_viên ok , nhưng bà chủ cư_xử quá tệ_hại .",0
"nó không rẻ nhưng vẫn sạch và ngon , chỉ có_điều bia quá ấm nếu nó mát hơn một_chút .",1
"thái_độ phục_vụ tệ , đồ_ăn lên cực lâu , nhân_viên thái_độ , ném đồ dằn_mặt khách , không khuyến_cáo đến quán này ăn .",0
"thức_ăn tương_đối ngon , không_gian rộng_rãi , giá không quá đắt .",1
"đã ăn nhiều lần thời còn sinh_viên , quay lại quá thất_vọng , giá 35k mì gà - nước nhợt_nhạt - không hiểu nổi đầu_bếp làm_chi .",0
nhân_viên phục_vụ lầu 1 thái_độ khinh khách ra_mặt .,0
"quán đắt hơn các quán mình ăn , nghêu nhìn mẩy mà ăn như bơm nước , bã , có cả nghêu chết rất kinh , cơm_rang hải_sản ăn không ngon lắm , canh cá thì lạ , khá oke , mực mặn quá .",0
"đã ăn mấy lần , rất ngon , giá_cả cũng ok , tuy_nhiên cần nấu nước súp thật nóng để ngon hơn .",1
"yêu món ăn_ở đây , ngon nhất tôi từng ăn_ở hà_nội cho đến nay , món bọc gà là 12 / 10 , rất khuyến_khích .",1
"đồ_ăn ngon , rất dậm chất nga .",1
"dịch_vụ khá tốt , các bạn nhân_viên hỗ_trợ khách khá nhiệt_tình , không_gian và khu nấu_ăn cũng khá gọn_gàng , tuy_nhiên , đồ_ăn không ngon với khá khá đắt , cần cải_thiện .",1
đồ_ăn mắc trong khi nội_thất nhà_hàng thì bình_dân .,0
"ngon có cơm và các món nước như bún các loại , có lẩu , có bán thực_phẩm chay mang về .",1
tối hôm_qua ăn xong 3h sáng hôm sau bị ngộ_độc thực_phẩm .,0
"mấy chi_nhánh của cali chi_nhánh nào cũng tốt , trừ chi_nhánh ở đường nguyễn_văn trỗi , nhân_viên giữ xe không thân_thiện mà hách_dịch như muốn đuổi khách .",0
"gà kiểu trung_quốc ngon và giá_cả phải_chăng trên cơm , thịt gà mềm và mềm .",1
"phở cũng không có gì đặc_sắc , giá khá cao , đặc_biệt không cho chuyển_khoản , thật_sự bất_tiện vì bây_giờ có ai dùng tiền_mặt .",1
"đồ_ăn tệ , thịt cháy đen .",0
như cái chợ vỡ .,1
"quản_lý khá bất lịch_sự , toxic với khách_hàng còn đuổi về .",0
"buffet có 3 loại , mình chọn loại 300k / người nhưng đồ_ăn không tươi , thịt có mùi , tẩm ướt bình_thường , sử_dụng quá nhiều ngũ_vị hương và mì_chính , bù lại nhân_viên rất nhiệt_tình .",0
quán phở .,1
"bia ngon , đồ_ăn đa_dạng , sạch_sẽ , nhân_viên phục_vụ nhiệt_tình , rất ok .",1
"thấy cũng ngon , giá có_vẻ cao so với tầng_lớp lđ nghèo .",0
hội_ngộ .,0
"quá tệ , tệ hơn tưởng_tượng , thịt hôi , làm sai đơn của khách , chấtl ượng không xứng_đáng giá tiền , mua mang về mang cục tức .",0
"dở , mắc .",0
"lúc trước bán đồ hải_sản tươi , ăn ngon , giá hợp_lý , nhưng hiện_tại thì giá cao mà đồ_ăn chế_biến không còn ngon như trước .",1
"món ăn rất ngon và vừa_miệng , giá_cả hợp_lý , tốt cho sức_khoẻ , có_điều là lẩu và súp mắc , không nên kêu mỗi người 1 chén súp 40k .",1
"món ăn đa_dạng , nhân_viên rất lịch_sự và dễ_thương , không_gian quán chill chill .",1
"ngon , rẻ , toping nhiều , cháo theo kiểu người nam , dồi chiên .",1
quán mở nhạc quá ồn bia thì bán nhưng 11h thì đuổi khách bắt khách cầm theo bia ra đường uống quá tệ mình là khách quen nhưng từ nay từ_giã định tổ_chức tất_niên ở quán nhưng thui tạm_biệt .,0
"sushi rất ngon , không_gian quán ấm_cúng giá rẻ bình_dân recommend mọi người nên tới thử .",1
gọi đồ uống nóng nên nhờ bạn phục_vụ đổi cốc nước ấm nhưng bạn bảo không có .,0
"đồ_ăn hơi mặn nhưng nói_chung là ok nên tới nhé , tui chỉ up ảnh món ngon thôi .",1
"đã đến và trải_nghiệm , đồ_ăn ngon và sạch_sẽ , nhân_viên thân_thiện nhiệt_tình .",1
"ăn buffet nhưng gọi thêm tôm thì báo hết , chịu .",0
"quán ra món lâu , không ra đồ như cơm không ra trước .",0
"làm thì lâu , thái_độ nhân_viên không_thể chấp_nhận được , mình đợi 1 tiếng đồng_hồ ra nói nhân_viên còn thái_độ , không chờ được thì_thôi , không chấp_nhận nổi .",0
"mực , tôm tươi ngon , cá thì không được ngon lắm , view siêu đẹp , ngồi hóng gió trời buổi trưa như ngồi máy_lạnh .",1
"đồ_ăn lâu mặc_dù đặt bàn , đặt món bà đặt_cọc trước , nhân_viên phục_vụ quá chán , bia đá phải tự_phục_vụ .",0
"nhà_hàng tuyệt_vời với sự chú_ý lớn đến từng chi_tiết và dịch_vụ tuyệt_vời , phải ghé thăm cho những người yêu thích ẩm_thực ý .",1
"đợi từ 19h10 tới 19g50 mang đồ ra vẫn thiếu , nước_lèo quá ít , ăn nhanh để lượn , gọi cũng chờ dài cổ .",0
"chất_lượng phục_vụ rất kém gọi đồ_ăn rất lâu , đồ_ăn hết thì đầu_bếp không lên đồ mới , nước_ngọt thì hết gas nói_chung là rất tệ .",0
"tươi ngon , không_gian lạ , phục_vụ chu_đáo , tuy_nhiên dịch_vụ sau bán hàng bên này cực kém , sau khi thanh_toán , mình yêu_cầu xuất hoá .",0
"quán này gần ngay nhà nhỏ bạn , ghé nó chơi rồi hốt ra đây ăn luôn , tính ra thì vào bừa nhưng bên này làm ốc cũng ok lắm , đồ tươi ngon mà nhận viên phục_vụ nhiệt_tình .",1
"1 , bẩn 2 , chủ tư_duy kém + thái_độ ( nhân_viên thì ok nha ) 3 , đừng nhìn menu mà nhìn quầy line trước khi quyết_định ăn hay không vì trong .",0
"quá đắt , 40k được vài miếng thịt .",0
"món ăn không ngon , thực_phẩm không tươi , nhân_viên thái_độ không tốt , không cần khách , giá đắt .",0
"quán xem_lại đội_ngũ xếp xe , thái_độ và lời_lẽ khá khó_chịu , khách tới thì thấy bảo_vệ cằn_nhằn , lúc ra về còn bảo ông em mình để xe mà không bo tiền cho bảo_vệ , không hiểu kiểu gì luôn .",1
"giá_cả không rõ_ràng , với_lại giá đó cho 1 chén thì quá là mắc , ăn để thử cho bik thôi .",0
nhà_hàng seafood và hotpot có_mặt ở sài_gòn từ năm 1990 .,1
đây là quán ăn gà 3 lu nổi_tiếng nhất .,1
